,"Economic Activity, Industrial Production, Index","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","International Reserves and Liquidity, Reserves, Official Reserve Assets, US Dollar","Prices, Consumer Price Index, All items, Index"
May 1963,18.34,360.00,"2,073.99",22.78
Jun 1963,18.42,360.00,"2,082.03",22.96
Jul 1963,19.00,360.00,"2,063.06",22.80
Aug 1963,18.67,360.00,"2,089.13",22.73
Sep 1963,19.49,360.00,"2,086.17",23.18
Oct 1963,20.16,360.00,"2,102.20",23.11
Nov 1963,20.24,360.00,"2,091.27",23.01
Dec 1963,21.06,360.00,"2,058.35",23.11
Jan 1964,19.49,360.00,"2,035.41",23.13
Feb 1964,21.31,360.00,"1,981.45",23.11
Mar 1964,22.63,360.00,"1,996.52",23.21
Apr 1964,21.23,360.00,"1,974.55",23.49
May 1964,21.31,360.00,"1,930.01",23.59
Jun 1964,22.06,360.00,"1,937.08",23.54
Jul 1964,21.89,360.00,"1,915.14",23.41
Aug 1964,21.15,360.00,"1,927.23",23.66
Sep 1964,22.63,360.00,"1,939.30",23.97
Oct 1964,22.63,360.00,"1,906.37",24.39
Nov 1964,22.14,360.00,"1,924.40",24.19
Dec 1964,23.54,360.00,"2,019.58",24.19
Jan 1965,21.31,360.00,"2,047.61",24.72
Feb 1965,22.55,360.00,"2,070.80",24.67
Mar 1965,24.45,360.00,"2,074.38",24.82
Apr 1965,22.30,360.00,"2,039.91",25.35
May 1965,21.81,360.00,"2,058.66",25.20
Jun 1965,22.63,360.00,"2,025.73",25.15
Jul 1965,22.55,360.00,"1,995.76",25.02
Aug 1965,21.73,360.00,"2,009.56",25.15
Sep 1965,22.80,360.00,"2,015.13",25.50
Oct 1965,22.88,360.00,"2,044.20",25.83
Nov 1965,23.05,360.00,"2,131.41",25.58
Dec 1965,23.79,360.00,"2,152.48",25.76
Jan 1966,22.14,360.00,"2,127.55",26.01
Feb 1966,23.54,360.00,"2,154.76",26.21
Mar 1966,26.19,360.00,"2,155.08",26.31
Apr 1966,24.53,360.00,"2,143.13",26.61
May 1966,24.53,360.00,"2,141.34",26.44
Jun 1966,25.61,360.00,"2,149.41",26.49
Jul 1966,25.77,360.00,"2,098.45",26.56
Aug 1966,25.19,360.00,"2,108.26",26.36
Sep 1966,26.68,360.00,"2,089.33",26.66
Oct 1966,27.09,360.00,"2,064.40",26.84
Nov 1966,27.51,360.00,"2,089.65",26.64
Dec 1966,29.08,360.00,"2,119.73",26.89
Jan 1967,26.85,360.00,"2,097.75",27.19
Feb 1967,28.17,360.00,"2,096.03",27.32
Mar 1967,31.22,360.00,"2,122.46",27.37
Apr 1967,29.08,360.00,"2,137.49",27.45
May 1967,29.32,360.00,"2,135.76",27.27
Jun 1967,30.56,360.00,"2,099.83",27.12
Jul 1967,30.56,360.00,"2,061.61",27.09
Aug 1967,29.99,360.00,"2,007.94",27.32
Sep 1967,32.22,360.00,"2,047.18",27.75
Oct 1967,32.38,360.00,"2,019.48",28.23
Nov 1967,32.96,360.00,"1,988.22",28.20
Dec 1967,34.28,360.00,"2,030.50",28.41
Jan 1968,30.81,360.00,"1,997.37",28.63
Feb 1968,33.12,360.00,"2,024.07",28.76
Mar 1968,35.60,360.00,"1,989.14",28.81
Apr 1968,34.12,360.00,"1,919.61",28.88
May 1968,34.28,360.00,"1,944.51",28.88
Jun 1968,35.27,360.00,"2,002.01",28.63
Jul 1968,35.77,360.00,"2,097.96",28.63
Aug 1968,34.61,360.00,"2,244.24",28.88
Sep 1968,36.51,360.00,"2,381.34",29.54
Oct 1968,37.42,360.00,"2,574.99",29.57
Nov 1968,38.00,360.00,"2,793.06",29.64
Dec 1968,38.74,360.00,"2,906.06",29.51
Jan 1969,35.27,360.00,"2,950.06",29.62
Feb 1969,38.00,360.00,"3,090.88",29.62
Mar 1969,40.56,360.00,"3,218.00",29.92
Apr 1969,39.82,360.00,"3,108.31",30.22
May 1969,39.57,360.00,"3,101.34",30.25
Jun 1969,40.97,360.00,"3,129.05",30.30
Jul 1969,41.80,360.00,"3,074.06",30.68
Aug 1969,39.65,360.00,"3,165.93",30.95
Sep 1969,42.87,360.00,"3,300.07",31.18
Oct 1969,44.11,360.00,"3,307.17",31.33
Nov 1969,43.70,360.00,"3,549.38",31.21
Dec 1969,45.68,360.00,"3,653.86",31.41
Jan 1970,41.47,360.00,"3,775.16",31.91
Feb 1970,44.44,360.00,"3,820.29",32.02
Mar 1970,47.91,360.00,"4,058.97",32.33
Apr 1970,46.01,360.00,"4,113.88",32.64
May 1970,45.19,360.00,"4,091.82",32.43
Jun 1970,48.08,360.00,"4,084.82",32.43
Jul 1970,48.32,360.00,"3,948.40",32.43
Aug 1970,45.27,360.00,"3,967.83",32.33
Sep 1970,48.16,360.00,"3,997.36",32.95
Oct 1970,48.08,360.00,"4,218.65",33.47
Nov 1970,47.25,360.00,"4,427.13",33.47
Dec 1970,49.48,360.00,"4,840.05",33.67
Jan 1971,44.36,360.00,"4,972.15",33.98
Feb 1971,46.75,360.00,"5,308.29",33.98
Mar 1971,50.55,360.00,"5,899.09",34.09
Apr 1971,47.75,360.00,"6,092.20",34.50
May 1971,45.10,360.00,"7,117.79",34.61
Jun 1971,48.41,360.00,"7,800.79",34.71
Jul 1971,48.82,360.00,"8,129.06",34.71
Aug 1971,46.18,355.52,"12,514.98",34.71
Sep 1971,49.48,337.40,"13,384.99",35.54
Oct 1971,48.57,330.42,"14,100.32",35.64
Nov 1971,48.65,328.40,"14,836.33",35.33
Dec 1971,49.65,336.39,"15,301.90",35.33
Jan 1972,45.02,312.23,"15,957.12",35.33
Feb 1972,48.16,304.98,"16,478.32",35.54
Mar 1972,52.62,302.44,"16,664.43",35.85
Apr 1972,49.65,303.56,"16,535.83",36.26
May 1972,48.98,304.44,"16,033.56",36.37
Jun 1972,51.55,303.68,"15,844.10",36.47
Jul 1972,51.55,301.11,"15,883.28",36.47
Aug 1972,49.89,301.10,"16,371.35",36.68
Sep 1972,53.45,301.10,"16,488.50",36.88
Oct 1972,53.69,301.10,"17,795.68",37.09
Nov 1972,54.19,301.10,"18,411.31",37.09
Dec 1972,57.08,301.23,"18,365.22",37.30
Jan 1973,51.63,301.96,"17,856.35",37.71
Feb 1973,54.93,279.10,"19,134.72",38.02
Mar 1973,60.71,265.26,"18,125.49",38.96
Apr 1973,57.66,265.52,"16,835.81",39.58
May 1973,57.66,264.73,"15,869.42",40.30
Jun 1973,60.14,264.70,"15,199.63",40.41
Jul 1973,59.89,264.41,"15,157.57",40.72
Aug 1973,57.58,265.11,"15,126.29",41.03
Sep 1973,61.38,265.49,"14,795.09",42.17
Oct 1973,62.12,266.33,"14,048.86",42.38
Nov 1973,61.87,277.81,"13,196.34",42.69
Dec 1973,62.53,280.00,"12,245.78",44.14
Jan 1974,55.35,298.64,"11,566.24",46.00
Feb 1974,58.48,291.24,"11,899.60",47.45
Mar 1974,62.20,282.58,"12,425.59",47.76
Apr 1974,58.15,277.78,"12,713.84",49.01
May 1974,57.41,278.93,"13,166.46",49.21
Jun 1974,57.91,283.05,"13,428.47",49.42
Jul 1974,57.91,290.91,"13,200.29",50.46
Aug 1974,53.12,302.22,"12,903.55",50.98
Sep 1974,56.92,299.62,"13,169.04",51.60
Oct 1974,55.35,299.48,"13,450.94",52.84
Nov 1974,53.69,300.10,"13,737.99",53.25
Dec 1974,53.28,300.44,"13,518.89",53.46
Jan 1975,45.02,299.64,"13,509.21",54.08
Feb 1975,47.25,292.17,"13,968.27",54.08
Mar 1975,50.88,288.03,"14,152.88",54.60
Apr 1975,49.89,292.12,"14,337.26",55.53
May 1975,48.98,291.47,"14,556.71",55.85
Jun 1975,51.30,293.57,"14,604.21",55.85
Jul 1975,52.37,296.22,"14,635.63",55.95
Aug 1975,48.65,297.94,"14,090.17",55.85
Sep 1975,53.12,299.68,"13,269.23",57.09
Oct 1975,53.12,302.38,"13,191.96",57.92
Nov 1975,51.38,302.53,"12,958.46",57.61
Dec 1975,53.12,305.70,"12,815.14",57.61
Jan 1976,47.50,304.66,"13,152.73",58.75
Feb 1976,51.55,301.90,"13,951.55",59.16
Mar 1976,57.41,300.60,"14,182.67",59.37
Apr 1976,55.68,299.13,"14,939.21",60.71
May 1976,54.27,299.06,"15,209.46",61.03
Jun 1976,57.33,299.40,"15,397.20",61.13
Jul 1976,58.57,294.78,"15,939.72",61.44
Aug 1976,54.52,290.74,"16,290.50",61.13
Sep 1976,58.90,287.66,"16,488.40",62.58
Oct 1976,58.57,290.93,"16,577.92",62.99
Nov 1976,58.57,295.05,"16,725.64",62.99
Dec 1976,59.56,294.72,"16,604.66",63.72
Jan 1977,52.62,291.08,"16,708.30",64.34
Feb 1977,55.10,285.07,"17,051.69",64.65
Mar 1977,61.54,280.57,"17,226.58",64.96
Apr 1977,58.57,275.12,"17,550.22",66.10
May 1977,56.67,277.62,"17,571.75",66.72
Jun 1977,59.48,272.98,"17,710.35",66.41
Jul 1977,58.81,264.82,"17,962.73",66.21
Aug 1977,56.25,266.64,"18,161.18",66.31
Sep 1977,60.63,267.04,"18,263.04",67.35
Oct 1977,59.39,255.07,"19,976.76",67.86
Nov 1977,59.89,244.81,"22,550.80",67.14
Dec 1977,61.13,241.30,"23,260.28",66.93
Jan 1978,54.52,241.13,"23,787.42",67.24
Feb 1978,57.41,240.28,"24,602.95",67.55
Mar 1978,64.60,231.51,"29,627.64",68.17
Apr 1978,62.37,221.68,"27,946.91",68.90
May 1978,60.63,226.40,"28,123.26",69.31
Jun 1978,62.86,214.34,"27,750.79",69.00
Jul 1978,63.28,199.90,"29,774.11",69.21
Aug 1978,60.14,188.45,"29,614.32",69.42
Sep 1978,64.68,190.16,"29,654.63",70.14
Oct 1978,63.94,183.95,"29,630.96",70.35
Nov 1978,64.10,191.26,"32,730.24",69.63
Dec 1978,65.92,196.24,"33,500.29",69.52
Jan 1979,58.15,197.72,"33,583.07",69.63
Feb 1979,61.79,200.56,"33,162.88",69.42
Mar 1979,68.48,206.10,"29,287.55",70.04
Apr 1979,66.33,215.81,"26,379.66",70.97
May 1979,65.67,218.15,"24,438.67",71.49
Jun 1979,67.98,218.89,"25,241.61",71.59
Jul 1979,68.56,216.41,"25,378.80",72.22
Aug 1979,64.76,217.91,"25,474.66",71.49
Sep 1979,68.31,222.26,"25,647.02",72.42
Oct 1979,69.06,230.37,"23,576.93",73.35
Nov 1979,69.47,244.88,"20,475.36",73.04
Dec 1979,70.54,240.62,"20,638.59",73.46
Jan 1980,62.78,237.96,"21,325.71",74.18
Feb 1980,69.47,244.05,"21,105.32",74.81
Mar 1980,73.93,248.62,"18,863.16",75.22
Apr 1980,72.78,251.67,"19,344.27",76.57
May 1980,70.05,228.35,"21,762.90",77.19
Jun 1980,71.37,218.05,"23,065.80",77.60
Jul 1980,71.62,220.95,"23,212.70",77.60
Aug 1980,64.18,224.45,"23,469.09",77.40
Sep 1980,70.38,214.85,"24,187.39",78.74
Oct 1980,70.21,209.12,"25,148.89",78.85
Nov 1980,68.73,213.04,"25,390.95",79.05
Dec 1980,71.12,209.78,"25,717.98",78.74
Jan 1981,62.95,202.00,"26,975.89",79.57
Feb 1981,67.16,205.89,"27,207.40",79.47
Mar 1981,73.35,208.82,"27,544.58",79.78
Apr 1981,71.04,215.14,"27,942.55",80.40
May 1981,67.74,220.66,"28,274.76",81.13
Jun 1981,71.62,224.20,"28,439.68",81.23
Jul 1981,72.61,231.96,"28,103.80",81.02
Aug 1981,66.41,233.69,"28,252.75",80.61
Sep 1981,73.19,230.02,"28,605.04",81.85
Oct 1981,73.11,231.37,"29,075.77",82.16
Nov 1981,72.28,223.74,"29,582.49",82.06
Dec 1981,73.52,218.94,"29,195.41",82.16
Jan 1982,64.68,224.59,"29,026.56",82.16
Feb 1982,68.64,235.17,"28,889.48",82.06
Mar 1982,75.83,240.72,"28,061.07",82.16
Apr 1982,72.03,244.86,"27,803.09",82.78
May 1982,68.40,236.90,"27,534.08",83.09
Jun 1982,72.44,251.04,"26,357.04",83.09
Jul 1982,72.69,255.12,"26,539.83",82.58
Aug 1982,66.33,258.82,"25,333.46",83.20
Sep 1982,73.11,262.65,"24,917.89",84.44
Oct 1982,70.13,271.40,"23,760.52",84.75
Nov 1982,71.37,265.13,"23,911.22",83.92
Dec 1982,71.95,242.52,"24,269.37",83.82
Jan 1983,64.51,232.94,"24,584.44",83.92
Feb 1983,68.31,236.24,"24,853.95",83.61
Mar 1983,75.83,238.03,"25,103.33",84.13
Apr 1983,72.28,237.71,"25,471.71",84.44
May 1983,69.88,234.74,"25,800.28",85.37
Jun 1983,73.60,240.15,"25,978.41",84.86
Jul 1983,74.26,240.50,"26,120.93",84.44
Aug 1983,70.13,244.33,"25,560.45",84.23
Sep 1983,76.74,242.77,"25,855.87",85.27
Oct 1983,75.09,233.01,"25,883.15",86.00
Nov 1983,76.24,235.31,"25,702.69",85.48
Dec 1983,78.14,234.41,"25,489.39",85.27
Jan 1984,70.13,233.94,"25,650.56",85.48
Feb 1984,76.41,233.68,"26,007.23",86.00
Mar 1984,82.85,225.40,"26,136.02",86.20
Apr 1984,78.81,224.95,"26,313.70",86.41
May 1984,77.40,230.66,"26,368.85",87.03
Jun 1984,80.87,233.21,"26,183.74",86.41
Jul 1984,82.19,242.84,"26,082.53",86.62
Aug 1984,76.74,242.30,"26,377.67",85.89
Sep 1984,81.53,245.23,"26,442.05",87.24
Oct 1984,82.85,246.79,"26,695.35",87.86
Nov 1984,83.02,243.32,"27,071.93",87.34
Dec 1984,83.60,247.95,"27,260.35",87.55
Jan 1985,75.17,254.18,"27,505.82",87.86
Feb 1985,79.80,260.24,"27,197.46",87.45
Mar 1985,86.16,258.63,"27,528.23",87.86
Apr 1985,83.84,251.67,"27,828.38",88.38
May 1985,81.86,251.54,"28,273.50",88.48
Jun 1985,83.43,248.99,"28,477.54",88.48
Jul 1985,86.24,241.75,"29,046.47",88.69
Aug 1985,78.48,237.21,"29,408.42",88.48
Sep 1985,83.84,236.95,"28,527.36",88.59
Oct 1985,84.01,214.73,"27,367.15",89.41
Nov 1985,83.68,203.72,"27,388.92",88.69
Dec 1985,84.84,202.82,"27,650.08",88.79
Jan 1986,75.42,200.07,"28,114.98",89.10
Feb 1986,80.37,184.64,"28,780.00",89.00
Mar 1986,87.15,178.93,"29,060.78",89.00
Apr 1986,83.60,175.62,"32,288.17",89.21
May 1986,80.87,166.83,"33,613.84",89.52
Jun 1986,83.84,167.95,"35,032.90",89.00
Jul 1986,85.66,158.60,"39,482.10",88.79
Aug 1986,76.49,154.00,"42,331.38",88.59
Sep 1986,85.17,154.72,"42,565.14",89.00
Oct 1986,83.60,155.95,"42,728.74",89.10
Nov 1986,82.19,162.64,"43,059.96",88.69
Dec 1986,85.33,162.29,"43,293.86",88.48
Jan 1987,75.83,154.48,"52,552.36",88.17
Feb 1987,79.96,153.48,"52,781.35",88.17
Mar 1987,88.55,151.54,"59,371.15",88.48
Apr 1987,83.93,142.98,"69,610.06",89.31
May 1987,79.88,140.54,"69,882.75",89.52
Jun 1987,86.16,144.48,"70,118.59",89.31
Jul 1987,89.05,150.21,"70,603.92",88.90
Aug 1987,80.21,147.56,"71,490.41",89.00
Sep 1987,89.05,143.00,"72,867.48",89.73
Oct 1987,89.87,143.54,"73,784.55",89.73
Nov 1987,89.13,135.25,"78,800.16",89.31
Dec 1987,92.19,128.59,"82,175.87",89.21
Jan 1988,82.26,127.56,"84,074.20",89.00
Feb 1988,89.83,129.16,"84,448.34",88.79
Mar 1988,98.80,127.28,"85,427.77",89.10
Apr 1988,93.12,124.93,"87,334.56",89.62
May 1988,88.04,124.77,"87,691.95",89.62
Jun 1988,94.51,127.14,"88,002.19",89.52
Jul 1988,95.31,133.07,"89,181.79",89.31
Aug 1988,87.74,133.63,"90,496.23",89.62
Sep 1988,97.20,134.44,"91,378.47",90.24
Oct 1988,95.41,129.02,"92,729.61",90.76
Nov 1988,97.10,123.19,"97,360.05",90.35
Dec 1988,99.30,123.63,"97,869.29",90.14
Jan 1989,88.94,127.23,"98,374.59",89.93
Feb 1989,93.42,127.77,"98,980.74",89.62
Mar 1989,108.36,130.36,"99,501.22",90.14
Apr 1989,98.10,132.08,"100,507.93",91.69
May 1989,94.12,138.35,"95,856.45",92.21
Jun 1989,101.69,143.79,"89,591.47",92.11
Jul 1989,100.49,140.72,"88,994.18",92.00
Aug 1989,93.22,141.11,"88,470.29",91.90
Sep 1989,101.39,145.05,"86,214.96",92.63
Oct 1989,100.29,141.93,"84,387.51",93.35
Nov 1989,100.69,143.52,"84,828.49",92.42
Dec 1989,102.68,143.66,"85,071.75",92.52
Jan 1990,90.63,145.09,"82,891.99",92.94
Feb 1990,96.41,145.53,"81,541.56",93.04
Mar 1990,109.35,153.08,"74,643.71",93.35
Apr 1990,100.99,158.47,"74,415.20",94.18
May 1990,97.70,153.52,"74,943.42",94.59
Jun 1990,104.67,153.77,"75,263.41",94.28
Jul 1990,107.16,149.28,"76,479.32",94.08
Aug 1990,97.70,147.42,"77,255.03",94.49
Sep 1990,106.07,138.99,"77,520.17",95.22
Oct 1990,108.06,129.73,"78,465.27",96.25
Nov 1990,106.47,129.08,"78,941.10",96.05
Dec 1990,108.06,133.55,"79,706.96",95.94
